SCIENTIFIC NAME,COMMON NAME,RANK,GRP,NRSHORE,REGION,DEPTH,BOTTOM,FISHED,Taxonomic history,Used name
Chauliodus macouni,Pacific viperfish,39,3,,22,8,13,16,1951-,always
Oxyjulis californica,Senorita,40,1,1,1.5,,10,16,1961-,Labridae
Gobiidae,Gobies,41,1,0,0,,11,0,1951-,always
Sternoptychidae,Hatchetfishes,42,3,,21,8,13,16,1951-,always
Lestidiops ringens,Slender barracudina,43,3,,22,8,13,16,1961-,Paralepididae
Tetragonurus cuvieri,Smalleye squaretail,44,2,,1.5,,13,16,1951-,always
Parophrys vetulus,English sole,45,1,2,1.5,,12,14,1951-,always
Lyopsetta exilis,Slender sole,46,1,2,1.5,,12,15,1951-,always
Sebastes aurora,Aurora rockfish,47,1,2,1.5,,12,14,1951-,always
Chromis punctipinnis,Blacksmith,48,1,1,2,,10,15,1951-,always
Paralabrax spp.,Kelp and sand basses,49,1,1,2.5,,11,14,1951-,always
Paralichthys californicus,California halibut,50,1,2,2.5,,12,14,1951-,always
Cottidae,Sculpins,51,1,0,1.5,,11,0,1951-,always
Bathylagus spp.,,52,3,,21,8,13,16,1951-,always
Hypsoblennius spp.,,53,1,1,2.5,,10,16,1951-,always
Danaphos oculatus,Bottlelight,54,3,,21,8,13,16,1972-,Gonostomatidae
Argyropelecus sladeni,Lowcrest hatchetfish,55,3,,22,8,13,16,1985-,Sternoptychidae
Microstoma spp.,Dusky pencilsmelt,56,3,,21,8,13,16,1951-,always
Sphyraena argentea,Pacific barracuda (California barracuda),57,1,2,2.5,,13,14,1951-,always
Nannobrachium regale,Pinpoint lampfish,58,3,,23,7,13,16,1954-,Nannobrachium spp.
Pleuronichthys verticalis,Hornyhead turbot,59,1,2,1.5,,12,15,1951-,always
Melamphaes lugubris,Highsnout bigscale,60,3,,22,8,13,16,1985-,Melamphaes spp.
Peprilus simillimus,Pacific pompano,61,1,1,1.5,,13,14,1951-,always
Stomias atriventer,Blackbelly dragonfish,62,3,,22,8,13,16,1951-,always
Labridae,Wrasses,63,1,0,0,,10,0,1951-,always
Sebastolobus spp.,Thornyheads,64,1,2,1.5,,12,14,1951-,always
Bathylagus pacificus,Pacific blacksmelt,65,3,,22,8,13,16,1951-,always
Rhinogobiops nicholsii,Blackeye goby,66,1,2,1.5,,11,16,1985-,Gobiidae
Sebastes goodei,Chilipepper,67,1,2,1.5,,13,14,1951-1969 and 1987-,Sebastes spp.
Seriphus politus,Queenfish,68,1,1,1.5,,12,14,1981-,Sciaenidae
Nansenia candida,Bluethroat argentine,69,3,,22,8,13,16,1951-,always
Sternoptyx spp.,Dollar hatchetfishes,70,3,,21,8,13,16,1951-,always
Microstomus pacificus,Dover sole,71,1,2,1.5,,12,14,1951-,always
Paralepididae,Barradcudinas,72,3,,21,0,13,16,1951-,always
Diogenichthys laternatus,Diogenes lanternfish,73,3,,23,8,13,16,1951-,always
Hygophum reinhardtii,Slender lanternfish,74,3,,23,7,13,16,1951-,always
Notoscopelus resplendens,Patchwork lampfish,75,3,,21,7,13,16,1951-,always
Ophidiiformes,,76,1,0,0,,11,0,1951-,always
Myctophum nitidulum,Pearly lanternfish,77,3,,21,7,13,16,1951-,always
Symphurus atricaudus,California tonguefish,78,1,2,4,,12,15,1951-,always
Scopelogadus bispinosus,Twospine bigscale,79,3,,23,8,13,16,1951-,always
Cololabis saira,Pacific saury,80,2,,1.5,,13,16,1951-,always
Trachipteridae,Ribbonfishes,81,2,,0,,13,16,1951-,always
Argyropelecus affinis,Slender hatchetfish,82,3,,21,8,13,16,1985-,Sternoptychidae
Clinidae,Kelpfishes,83,1,0,0,,10,0,1951-,always
Electrona risso,Chubby flashlightfish,84,3,,22,8,13,16,1951-,always
Hypsoblennius jenkinsi,Mussel blenny,85,1,1,2,,10,16,1985-,Hypsoblennius spp.
Cyclothone acclinidens,Benttooth bristlemouth,86,3,,21,7,13,16,1985-,Cyclothone spp.
Scorpaenichthys marmoratus,Cabezon,87,1,2,1.5,,10,14,1951-,always
Scopelosaurus spp.,Paperbones,88,3,,21,8,13,16,1951-,always
Notolychnus valdiviae,Topside lampfish,89,3,,21,7,13,16,1951-,always
Aristostomias scintillans,Shiny loosejaw,90,3,,22,8,13,16,1951-,always
Ophidion scrippsae,Basketweave cusk-eel,91,1,1,2,,12,16,1951-,always
Arctozenus risso,White barracudina,92,3,,21,8,13,16,1961-,Paralepididae
Hypsypops rubicundus,Garibaldi,93,1,1,2,,10,16,1951-,always
Chiasmodon niger,Black swallower,94,3,,21,9,13,16,1951-,always
Hippoglossina stomata,Bigmouth sole,95,1,2,2,,12,15,1951-,always
Icelinus quadriseriatus,Yellowchin sculpin,96,1,2,1.5,,12,16,1985-,Cottidae
Sebastes levis,Cow rockfish (cowcod),97,1,2,1.5,,11,14,1951-,always
Brosmophycis marginata,Red brotula,98,1,2,1.5,,10,16,1951-,always
Argyropelecus hemigymnus,Spurred hatchetfish,99,3,,21,8,13,16,1985-,Sternoptychidae
Ruscarius creaseri,Roughcheek sculpin,100,1,1,1.5,,10,16,1985-,Cottidae
Lepidogobius lepidus,Bay goby,101,1,2,1.5,,12,16,1985-,Gobiidae
Tactostoma macropus,Longfin dragonfish,102,3,,22,8,13,16,1951-,always
Agonidae,Poachers,103,1,0,1.5,,11,15,1951-,always
Benthalbella dentata,Northern pearleye,104,3,,22,8,13,16,1972-,Scopelarchidae
Oxylebius pictus,Painted greenling,105,1,1,1.5,,10,16,1951-,always
Lampadena urophaos,Sunbeam lampfish,106,3,,22,9,13,16,1951-,always
Chilara taylori,Spotted cusk-eel,107,1,2,1.5,,12,15,1951-,always
Glyptocephalus zachirus,Rex sole,108,1,2,1.5,,12,14,1951-,always
Argyropelecus lychnus,Tropical hatchetfish,109,3,,21,8,13,16,1985-,Sternoptychidae
Poromitra crassiceps,Crested bigscale,110,3,,21,8,13,16,1985-,Poromitra spp.
Poromitra spp.,,111,3,,21,8,13,16,1951-,always
Melamphaes parvus,Little bigscale,112,3,,23,8,13,16,1985-,Melamphaes spp.
Zaniolepis spp.,,113,1,2,1.5,,12,15,1951-,always
Pleuronichthys coenosus,C-O sole,114,1,1,1.5,,11,15,1951-,always
Gonostomatidae,Bristlemouths,115,3,,21,0,13,16,1951-,always
Semicossyphus pulcher,California sheephead,116,1,1,4,,10,14,1961-,Labridae
Rosenblattichthys volucris,Chubby pearleye,117,3,,23,8,13,16,1972-,Scopelarchidae
Trachipterus altivelis,King-of-the-salmon,118,2,,1.5,,13,16,1985-,Trachipteridae
Diogenichthys spp.,,119,3,,21,8,13,16,1951-,always
Scopelarchidae,Pearleyes,120,3,,21,8,13,16,1951-,always
Howella spp.,Pelagic basslet,121,3,,21,8,13,16,1951-,always
Zaniolepis latipinnis,Longspine combfish,122,1,2,1.5,,12,15,1985-,Zaniolepis spp.
Scopelarchus analis,Blackbelly pearleye,123,3,,23,8,13,16,1985-,Scopelarchus spp.
Rathbunella spp.,"Ronquils (Stripefin, Bluebanded)",124,1,0,1.5,,11,16,1985-,Blennioidei
Cataetyx rubrirostris,Rubynose brotula,125,1,2,1.5,,12,16,1961-,Bythitidae
Bathophilus flemingi,Highfin dragonfish,126,3,,22,8,13,16,1951-,always
Stomiiformes,,127,3,,21,0,13,16,1951-,always
Bathylagus milleri,Robust blacksmelt,128,3,,22,8,13,16,1951-,always
Pleuronichthys ritteri,Spotted turbot,129,1,1,2,,12,16,1951-,always
Synodus lucioceps,California lizardfish,130,1,2,2.5,,12,15,1951-,always
Vinciguerria spp.,,131,3,,21,7,13,16,1951-,always
Nannobrachium hawaiiensis,,132,3,,23,8,13,16,1985-,Nannobrachium spp.
Ichthyococcus irregularis,Bulldog lightfish,133,3,,23,8,13,16,1951-,always
Cryptotrema corallinum,Deepwater blenny,134,1,2,2,,11,16,1985-,Clinidae
Cyclothone pseudopallida,Slender bristlemouth,135,3,,21,8,13,16,1985-,Cyclothone spp.
Stichaeidae,Pricklebacks,136,1,0,1,,11,0,1987-,Blennioidei
Pleuronectiformes,,137,1,0,0,,11,0,1951-,always
Pleuronichthys decurrens,Curlfin sole,138,1,2,1.5,,12,14,1951-,always
Loweina rara,Dwarf lanternfish,139,3,,23,7,13,16,1951-,always
Citharichthys xanthostigma,Longfin sanddab,140,1,2,2.5,,12,14,1954-1960 and 1984-,Citharichthys spp.
Lythrypnus dalli,Bluebanded goby,141,1,1,2.5,,10,14,1985-,Gobiidae
Brama japonica,Pacific pomfret,142,3,,22,8,13,15,1951-,always
Sebastolobus altivelis,Longspine thornyhead,143,1,2,1.5,,12,14,1985-,Sebastolobus spp.
Xystreurys liolepis,Fantail sole,144,1,1,2,,12,14,1951-,always
Gigantactis spp.,Whipnoses,145,3,,21,9,13,16,1951-,always
Cyclopteridae,"Snailfishes, Lumpsuckers",146,1,0,1,,0,0,1951-,always
Medialuna californiensis,Halfmoon,147,1,1,2,,13,14,1951-,always
Blennioidei,,148,1,0,0,,0,0,1951-,always
Argyropelecus spp.,,149,3,,21,8,13,16,1985-,Sternoptychidae
Girella nigricans,Opaleye,150,1,1,2,,10,14,1951-,always
Artedius lateralis,Smoothhead sculpin,151,1,1,1,,10,16,1985-,Cottidae
Pleuronichthys spp.,Turbots,152,1,0,1.5,,11,14,1951-,always
Typhlogobius californiensis,Blind goby,153,1,1,2,,10,16,1985-,Gobiidae
Scopelarchus spp.,Pearleyes,155,3,,21,8,13,16,1972-,Scopelarchidae
Atherinopsidae,New world silversides,156,1,1,1.5,,13,14,1951-,always
Oneirodes spp.,Dreamers,157,3,,21,9,13,16,1985-,Oneirodidae
Psettichthys melanostictus,Sand sole,158,1,1,1,,12,14,1951-,always
Zaniolepis frenata,Shortspine combfish,159,1,2,1.5,,12,15,1985-,Zaniolepis spp.
Ceratioidei,,160,3,,21,9,13,16,1951-,always
Pleuronichthys guttulata,Diamond turbot,161,1,1,2,,12,14,1951-,always
Icosteus aenigmaticus,Ragfish,162,2,,1.5,,13,16,1951-,always
Neoclinus stephensae,Yellowfin fringehead,163,1,1,2,,10,16,1985-,Blennioidei
Diaphus theta,California headlightfish,164,3,,22,7,13,16,1951-,Diaphus spp.
Lythrypnus zebra,Zebra goby,165,1,1,2,,10,16,1985-,Gobiidae
Scopelarchus guentheri,Staring pearleye,166,3,,23,8,13,16,1985-,Scopelarchus spp.
Parvilux ingens,Giant lampfish,167,3,,22,9,13,16,1969-,Myctophidae
Xeneretmus latifrons,Blacktip poacher,168,1,2,1.5,,12,15,1985-,Agonidae
Macrouridae,Grenadiers,169,2,,0,,12,0,1951-,always
Scopeloberyx robustus,Longjaw bigscale,170,3,,21,8,13,16,1951-,always
Rathbunella alleni,Stripefin ronquil,171,1,0,0,,11,16,1995-,Blennioidei
Bathylagidae,Deepsea smelts,172,3,,21,8,13,16,1951-,always
Lampanyctus steinbecki,Longfin lampfish,173,3,,23,7,13,16,1985-,Nannobrachium spp.
Hygophum atratum,Thickhead lanternfish,174,3,,22,7,13,16,1951-,always
Halichoeres semicinctus,Rock wrasse,175,1,1,2,,10,16,1961-,Labridae
Etrumeus teres,Round herring,176,1,1,3,,13,16,1951-,always
Haemulidae,Grunts,177,1,1,2.5,,0,14,1951-,always
Icelinus spp.,,178,1,2,1.5,,0,0,1985-,Cottidae
Hypsoblennius gentilis,Bay blenny,179,1,1,2,,10,16,1985-,Hypsoblennius spp.
Nannobrachium bristori,,180,3,,23,8,13,16,1985-,Nannobrachium spp.
Hygophum spp.,,181,3,,21,7,13,16,1951-,always
Liparis mucosus,Slimy snailfish,182,1,1,1,,10,16,1951-,always
Chitonotus pugetensis,Roughback sculpin,183,1,2,1.5,,12,16,1985-,Cottidae
Lepidopsetta bilineata,Rock sole,184,1,2,1.5,,11,14,1961-,Pleuronectidae
Ophiodon elongatus,Lingcod,185,1,2,1.5,,11,14,1951-,always
Atherinopsis californiensis,Jacksmelt,186,1,1,1.5,,13,14,1985-,Atherinidae
Odontopyxis trispinosa,Pygmy poacher,187,1,2,1.5,,12,15,1985-,Agonidae
Orthonopias triacis,Snubnose sculpin,188,1,1,1.5,,10,16,1987-,Cottidae
Xenistius californiensis,Salema,189,1,1,2.5,,13,14,1980-,Haemulidae
Melanostomiinae,Scaleless dragonfishes,190,3,,21,8,13,16,1951-,always
Sebastolobus alascanus,Shortspine thornyhead,191,1,2,1.5,,12,14,1985-,Sebastolobus spp.
Seriola lalandi,Yellowtail jack,192,1,2,2.5,,13,14,1951-,always
Anguilliformes,Eels,193,2,2,0,,0,16,1951-,always
Melamphaes simus,,194,3,,23,8,13,16,1985-,Melamphaes spp.
Artedius harringtoni,Scalyhead sculpin,195,1,2,1,,10,16,1985-,Cottidae
Plectobranchus evides,Bluebarred prickleback,196,1,2,1.5,,12,16,1985-,Blennioidei
Artedius fenestralis,Padded sculpin,197,1,2,1,,10,16,1985-,Cottidae
Sarda chiliensis,Pacific bonito,198,1,1,1.5,,13,14,1956-,Scombridae
Sebastes melanostomus,Blackgill rockfish,199,1,2,1.5,,12,14,1997-,Sebastes spp.
Atractoscion nobilis,White seabass,200,1,2,1.5,,13,14,1984-,Sciaenidae
Hexagrammos decagrammus,Kelp greenling,201,1,1,1.5,,10,14,1989-,Hexagrammidae
Desmodema lorum,Whiptail ribbonfish,202,3,,22,8,13,16,1987-,Trachipteridae
Pleuronectidae,Righteye Flounders,203,1,0,1.5,,11,0,1951-,always
Valenciennellus tripunctulatus,Constellationfish,204,3,,21,8,13,16,1972-,Gonostomatidae
Citharichthys fragilis,Gulf sanddab,205,1,2,2.5,,12,15,1954-,Citharichthys spp.
Macroramphosus gracilis,Slender snipefish,206,2,,2.5,,13,16,1951-,always
Hexagrammidae,Greenlings,207,1,0,1,,11,0,1951-,always
Anisotremus davidsonii,Sargo,208,1,1,2,,11,14,1985-,Haemulidae
Gonichthys tenuiculus,Slendertail lanternfish,209,3,,22,7,13,16,1951-,always
Photonectes spp.,,210,3,,21,8,13,16,1961-,Melanostomiinae
Melamphaidae,Bigscales,211,3,,21,8,13,16,1951-,always
Gempylidae,Snake Mackerels,212,3,,21,7,13,16,1951-,always
Dolichopteryx longipes,Brownsnout spookfish,213,3,,21,8,13,16,1951-,always
Diplospinus multistriatus,Striped escolar,214,3,,23,7,13,16,1985-,Gempylidae
Scorpaena guttata,California scorpionfish (sculpin),215,1,2,2,,11,14,1951-,always
Cyema atrum,Bobtail eel,216,3,,21,9,13,16,1951-,always
Eopsetta jordani,Petrale sole,217,1,2,1.5,,11,14,1951-,always
Cheilotrema saturnum,Black croaker,218,1,1,2,,11,14,1981-,Sciaenidae
Leptocottus armatus,Pacific staghorn sculpin,219,1,1,1.5,,12,16,2001-,Cottidae
Hypsoblennius gilberti,Rockpool blenny,220,1,1,2,,10,16,1985-,Hypsoblennius spp.
Centrobranchus nigroocellatus,Roundnose lanternfish,221,3,,23,7,13,16,1951-,always
Stemonosudis macrura,Sharpchin barracudina,222,3,,23,8,13,16,1961-,Paralepididae
Oligocottus spp.,,223,1,1,1,,10,16,1989-,Cottidae
Xeneretmus leiops,Smootheye poacher,224,1,2,1,,12,15,1985-,Agonidae
Paricelinus hopliticus,Thornback sculpin,225,1,1,1,,12,16,1985-,Cottidae
Caristius maderensis,Manefin,226,3,,21,8,13,16,1951-,always
Oneirodidae,Dreamers,227,3,,21,9,13,16,1951-,always
Nansenia crassa,Stout argentine,228,3,,23,8,13,16,1951-,always
Psenes pellucidus,Bluefin driftfish (blackrag),229,3,,23,6,13,16,1951-,always
Platichthys stellatus,Starry flounder,230,1,1,1,,12,14,1951-,always
Ruscarius meanyi,Puget Sound sculpin,231,1,1,1,,10,16,1999-,Cottidae
Isopsetta isolepis,Butter sole,232,1,1,1,,12,14,1951-,always
Anoplarchus purpurescens,High cockscomb,233,1,1,1,,10,16,1987-,Blennioidei
Bathyagonus pentacanthus,Bigeye poacher,234,1,2,1,,12,15,1987-,Agonidae 
Magnisudis atlantica,Duckbill barracudina,235,3,,21,7,13,16,1985-,Paralepididae
Leuresthes tenuis,California grunion,236,1,1,1.5,,13,14,1985-,Atherinidae
Atherinops affinis,Topsmelt,237,1,1,1.5,,13,14,1985-,Atherinidae
Diplophos taenia,,238,3,,23,8,13,16,1951-,always
Neoclinus spp.,Fringeheads,239,1,1,2,,0,16,1985-,Blennioidei
Dolopichthys spp.,,240,3,,21,8,13,16,1997-,Oneirodidae
Cheilopogon pinnatibarbatus,Smallhead flyingfish,241,2,,2.5,,13,14,1977-,Exocoetidae
Chaenopsis alepidota,Orangethroat pikeblenny,242,1,1,3,,12,16,1980-,Clinidae
Caulolatilus princeps,Ocean whitefish,243,1,2,4,,11,14,1951-,always
Nezumia spp.,,244,1,2,2,,12,15,1986-,Macrouridae
Artedius spp.,,245,1,0,1.5,,11,16,1985-,Cottidae
Exocoetidae,Flyingfishes,246,2,,2.5,,13,0,1951-,always
Clinocottus analis,Woolly sculpin,247,1,1,2,,10,16,1980-,Cottidae
Eutaeniophorus festivus,Festive ribbontail,248,3,,21,8,13,16,1951-,Eutaeniophorus spp.
Perciformes,,249,2,,0,,0,0,1951-,always
Lepidopus fitchi,Pacific scabbardfish,250,1,2,2.5,,13,16,1972-,Trichiuridae
Macropinna microstoma,Barreleye,251,3,,22,8,13,16,1951-,always
Zoarcoidei,,252,2,,0,,0,0,1985-,Blennioidei
Embassichthys bathybius,Deepsea sole,253,1,2,1.5,,11,15,1991-,Pleuronectidae
Cubiceps baxteri,,254,3,,23,8,13,16,1972-,Nomeidae
Gonostoma atlanticum,Atlantic fangjaw,255,3,,21,8,13,16,1951-,always
Carangidae,Jacks,256,2,,0,,13,14,1951-,always
Gonostoma spp.,Fangjaws,257,3,,21,8,13,16,1951-,always
Coryphaena hippurus,Common dolphinfish,258,2,,3,,13,14,1951-,always
Leptocephalus holti,,259,3,,23,8,13,16,1985-,Anguilliformes
Pomacentridae,Damselfishes,260,1,1,2.5,,10,0,1951-,always
Roncador stearnsii,Spotfin croaker,261,1,1,2,,12,14,1981-,Sciaenidae
Liparis spp.,,262,1,1,1,,11,16,1951-,Cyclopteridae
Mugil cephalus,Striped mullet,263,1,1,2.5,,12,14,1951-,always
Gobiesox maeandricus,Northern clingfish,264,1,1,1,,10,16,1991-,Gobiesocidae
Gibbonsia spp.,,265,1,1,1.5,,10,16,1994-,Blennioidei
Bythitidae,Viviparous Brotulas,266,1,2,0,,0,16,1951-,always
Lampanyctus tenuiformis,,267,3,,23,7,13,16,1985-,Nannobrachium spp.
Ophichthus zophochir,Yellow snake eel,268,1,1,3,,12,16,1998-,Ophidiiformes
Hermosilla azurea,Zebraperch,269,1,1,2.5,,10,14,1951-,always
Gobiesocidae,Clingfishes,270,1,1,1.5,,10,16,1951-,always
Triphoturus nigrescens,Highseas lampfish,271,3,,21,7,13,16,1951-,always
Anoplopoma fimbria,Sablefish (blackcod),272,1,2,1.5,,12,14,1951-,always
Trichiuridae,Cutlassfishes,273,1,2,0,,13,0,1951-,always
Neoclinus blanchardi,Sarcastic fringehead,274,1,1,2,,11,16,1985-,Blennioidei
Bolinichthys longipes,Popeye lampfish,275,3,,21,7,13,16,1972-,Myctophidae
Eustomias spp.,,276,3,,21,8,13,16,1961-,Melanostomiinae
Clupeiformes,,277,2,,0,,13,0,1951-,always
Lampanyctus omostigma,,278,3,,23,7,13,16,1985-,Nannobrachium spp.
Pholidae,Gunnels,279,1,1,1.5,,10,16,1989-,Blennioidei
Albatrossia pectoralis,Giant grenadier,280,1,2,1.5,,12,15,1994-,Macrouridae
Prionotus spp.,Searobins,281,1,2,3,,12,16,1951-,always
Bathophilus filifer,Threadfin dragonfish,282,3,,23,8,13,16,1951-,always
Coryphaena equiselis,Pompano dolphinfish,283,3,,21,6,13,16,1951-,always
Lepidocybium flavobrunneum,Escolar,284,3,,21,7,13,15,1951-,always
Lythrypnus spp.,,285,1,1,2.5,,10,0,1985-,Gobiidae
Poromitra megalops,,286,3,,23,8,13,16,1985-,Poromitra spp.
Myctophum lychnobium,,287,3,,23,7,13,16,1951-,always
Coryphaenoides acrolepis,Pacific grenadier,288,1,2,1.5,,12,14,1985-,Macrouridae
Coryphaenoides leptolepis,Ghostly grenadier,289,1,2,1,,12,16,1985-,Macrouridae
Nealotus tripes,Black snake mackerel,290,3,,21,8,13,16,1951-,always
Aulorhynchus flavidus,Tubesnout,291,1,1,1,,13,16,1951-,always
Caulophryne spp.,Fanfins,292,3,,21,9,13,16,1951-,always
Eutaeniophorus spp.,,293,3,,21,8,13,16,1951-,Eutaeniophorus spp.
Cyematidae,Bobtail Eels,294,3,,21,9,13,16,1951-,always
Umbrina roncador,Yellowfin croaker,295,1,1,2,,12,14,1991-,Sciaenidae
Ronquilus jordani,Northern ronquil,296,1,2,1,,10,16,1987-,Blennioidei
Liparis fucensis,Slipskin snailfish,297,1,1,1,,11,16,1951-,Cyclopteridae
Leptocephalus giganteus,,298,3,,23,8,13,16,1985-,Anguilliformes
Taaningichthys minimus,,299,3,,21,9,13,16,1951-,always
Coryphaenoides spp.,Grenadiers,300,2,,0,,12,0,1985-,Macrouridae
Gonostoma ebelingi,Ebeling's fangjaw,301,3,,23,8,13,16,1951-,always
Menticirrhus undulatus,California corbina,302,1,1,2,,12,14,1988-,Sciaenidae
Radiicephalus elongatus,Tapertail,303,3,,21,8,13,16,1951-,always
Cryptopsaras couesii,Triplewart seadevil,304,2,,1.5,,13,16,1951-,always
Ilypnus gilberti,Cheekspot goby,305,1,1,2,,12,16,1993-,Gobiidae
Hemilepidotus spinosus,Brown Irish lord,306,1,2,1,,10,16,1993-,Cottidae
Howella pammelas,,307,3,,21,8,13,16,1951-,always
Enophrys bison,Buffalo sculpin,308,1,2,1,,10,16,1996-,Cottidae
Clevelandia ios,Arrow goby,309,1,1,1.5,,12,16,1980-,Gobiidae
Agonopsis sterletus,Southern spearnose poacher,310,1,2,1.5,,11,15,1999-,Agonidae 
Physiculus spp.,,311,1,2,2.5,,12,16,1972-,Moridae
Pronotogrammus multifasciatus,Threadfin bass,312,1,2,3,,11,16,1951-,always
